GameId,PlayerId,BackPostPass,BlockedShot,Goal,GoalAssist,OffTargetShot,OnTargetShot,PlayerOff,playerOn,SavedShot,SuccessfulDribbling,SuccessfulInterception,SuccessfulPass,SuccessfulTackle,UnsuccessfulDribbling,UnsuccessfulInterception,UnsuccessfulPass,UnsuccessfulTackle,PlayerAttackingScore,PlayerDefendingScore,PlayerTeamPlayScore,PlayerTotalScore
350,4,0,0,2,0,4,4,2,2,2,3,1,4,1,1,0,6,3,420,40,60,520
241,4,0,2,1,0,2,7,3,3,6,5,3,10,2,4,1,2,0,340,230,280,850
242,4,0,2,3,1,0,3,3,3,0,2,1,10,2,4,0,0,0,530,160,300,990
244,4,0,0,0,0,1,0,3,3,0,1,2,6,1,5,3,0,0,-110,110,180,180
246,4,0,1,2,0,2,3,3,3,1,3,9,13,1,2,1,5,1,370,390,340,1100
247,4,1,0,2,0,1,3,2,2,1,3,0,3,6,2,2,2,0,530,340,70,940
236,4,0,1,2,1,0,3,2,2,1,1,0,6,0,2,1,7,3,430,-70,110,470
243,4,0,1,2,1,4,6,3,2,4,3,4,7,3,1,1,1,1,580,310,200,1090
252,4,0,1,1,0,1,1,3,3,0,0,4,9,0,6,0,3,0,-60,160,240,340
353,4,0,0,2,1,2,4,3,3,2,7,2,10,0,6,0,4,2,630,40,260,930
238,4,1,1,3,0,1,5,3,2,2,2,4,4,3,2,0,0,1,630,320,120,1070
250,4,1,0,1,1,0,3,2,2,2,2,5,8,3,5,0,1,2,410,340,230,980
249,4,0,0,0,0,2,2,2,2,2,3,1,7,3,3,0,10,1,80,200,110,390
240,4,0,2,2,0,2,3,2,3,1,5,1,13,3,0,0,6,1,510,200,330,1040
251,4,1,2,1,0,2,1,2,2,0,2,2,4,1,2,1,0,1,260,110,120,490
253,4,1,1,1,1,1,2,3,3,1,7,5,10,1,6,1,2,0,580,250,280,1110
254,4,1,0,4,1,4,8,3,3,4,3,5,14,3,0,0,7,1,1060,360,350,1770
239,4,0,0,2,0,0,3,3,3,1,6,5,10,4,6,0,4,0,440,440,260,1140
248,4,1,1,3,0,1,4,3,3,1,4,5,18,2,0,1,1,2,770,270,530,1570
237,4,0,1,1,0,0,4,3,3,3,2,2,3,2,3,1,2,5,200,90,70,360
161,4,1,2,4,0,1,8,2,3,4,7,2,13,0,2,0,0,0,1050,80,390,1520
162,4,0,1,0,0,0,2,2,2,2,6,1,6,4,4,0,1,1,200,260,170,630
163,4,1,0,0,0,2,1,2,3,1,4,3,9,1,2,0,1,0,270,180,260,710
350,5,0,0,0,0,0,3,4,4,3,4,0,24,3,0,1,6,2,260,130,660,1050
241,5,0,4,0,1,3,2,3,3,2,6,1,21,1,1,0,3,2,340,60,600,1000
244,5,2,0,1,0,3,5,2,2,4,5,4,6,1,0,0,4,2,710,180,140,1030
246,5,1,1,0,0,1,3,2,2,3,7,3,12,0,4,2,0,1,390,80,360,830
247,5,1,1,0,0,3,4,4,4,4,4,4,9,3,2,0,0,0,300,340,270,910
243,5,0,0,1,0,3,11,3,3,10,7,0,13,3,0,0,2,0,670,180,370,1220
252,5,0,0,1,0,4,6,2,2,5,6,11,32,5,3,1,11,0,420,730,850,2000
353,5,0,1,1,2,6,5,3,3,4,10,6,37,3,4,1,10,0,810,410,1010,2230
250,5,0,0,6,0,3,9,3,3,3,3,4,14,4,1,0,2,1,1050,380,400,1830
238,5,1,3,3,1,2,3,3,3,0,11,6,12,6,4,0,8,0,1070,600,280,1950
249,5,0,0,0,0,5,2,3,3,2,5,3,9,3,2,0,7,1,180,280,200,660
240,5,0,2,3,0,2,6,2,3,3,4,0,15,3,0,0,1,1,650,160,440,1250
253,5,0,0,1,0,2,2,4,4,1,4,8,18,2,5,0,9,3,200,380,450,1030
239,5,0,2,3,1,2,5,2,3,2,11,7,12,2,6,0,3,2,940,360,330,1630
248,5,1,8,1,1,2,7,3,3,6,16,7,22,9,1,1,6,0,1130,810,600,2540
237,5,0,0,1,1,2,6,3,3,5,8,6,22,1,3,0,8,7,680,160,580,1420
251,5,3,3,1,0,6,4,3,3,3,10,5,20,0,1,1,8,3,950,130,520,1600
436,5,0,1,1,1,0,6,3,3,5,3,1,42,0,4,1,15,0,400,30,1110,1540
437,5,1,4,0,0,1,3,2,2,3,5,0,18,3,2,0,10,1,290,160,440,890
438,5,1,1,1,1,3,4,2,2,3,3,0,28,1,1,0,5,0,550,60,790,1400
497,5,2,2,4,1,1,7,2,2,3,14,1,23,5,5,1,16,3,1560,270,530,2360
489,5,1,0,1,1,3,2,2,2,1,5,12,33,4,4,1,14,2,540,750,850,2140
